City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fuerte olimpo,-21.0415,-57.8738,298.16,41,0,1.81,PY,1727583585
83,chernyshevskiy,63.0128,112.4714,273.37,95,100,7.72,RU,1727583587
84,hermanus,-34.4187,19.2345,283.04,61,91,10.75,ZA,1727583588
85,hell-ville,-13.4,48.2667,297.27,76,4,2.63,MG,1727583590
86,sosnovo-ozerskoye,52.5249,111.5418,280.46,24,62,3.31,RU,1727583591
87,grytviken,-54.2811,-36.5092,272.18,66,16,3.92,GS,1727583592
88,puerto natales,-51.7236,-72.4875,271.19,83,85,2.84,CL,1727583594
89,sungailiat,-1.85,106.1333,299.04,88,97,5.8,ID,1727583595
90,whitehorse,60.7161,-135.0538,277.05,74,40,1.54,CA,1727583596
91,weno,7.4515,151.8468,303.12,79,100,4.12,FM,1727583597
92,collie,-33.3667,116.15,289.18,56,72,3.4,AU,1727583598
93,joshimath,30.5667,79.5667,293.5,56,29,2.39,IN,1727583599
94,tual,-5.6667,132.75,300.68,78,8,6.85,ID,1727583601
95,punta arenas,-53.15,-70.9167,273.21,80,75,8.23,CL,1727583602
96,klyuchi,52.2667,79.1667,282.89,36,10,4.49,RU,1727583603
97,udachny,66.4167,112.4,274.33,92,100,6.96,RU,1727583604
98,moussoro,13.6408,16.4901,301.76,56,49,2.82,TD,1727583605
99,vilyuchinsk,52.9306,158.4028,286.3,59,6,2.42,RU,1727583606
100,yellowknife,62.456,-114.3525,278.38,96,20,2.06,CA,1727583607
101,marica,-22.9194,-42.8186,294.26,76,98,2.6,BR,1727583609
102,waddan,29.1614,16.139,296.06,50,0,2.31,LY,1727583610
103,new norfolk,-42.7826,147.0587,289.66,63,100,4.65,AU,1727583611
104,oranjemund,-28.55,16.4333,286.3,73,100,8.68,NA,1727583612
105,selfoss,63.9331,-20.9971,277.62,94,100,4.42,IS,1727583613
106,altai,46.3722,96.2583,270.06,59,75,1.48,MN,1727583614
107,harper,4.375,-7.7169,297.47,91,100,3.3,LR,1727583616
108,laizhou,37.1717,119.9214,301.11,54,23,4.59,CN,1727583617
109,ar rahad,12.7167,30.65,298.59,70,18,2.66,SD,1727583618
110,gamboma,-1.8764,15.8644,295.21,94,100,1.12,CG,1727583619
111,tocopilla,-22.092,-70.1979,290.06,60,32,0.6,CL,1727583620
112,newman,37.3138,-121.0208,294.28,65,0,3.39,US,1727583621
113,ilulissat,69.2167,-51.1,278.16,93,100,2.06,GL,1727583622
114,touros,-5.1989,-35.4608,298.1,79,6,5.95,BR,1727583624
115,anadyr,64.75,177.4833,275.43,74,40,1.0,RU,1727583626
116,afaahiti,-17.75,-149.2833,298.17,81,47,5.25,PF,1727583627
117,kailua-kona,19.6406,-155.9956,298.86,83,14,0.45,US,1727583628
118,pacasmayo,-7.4006,-79.5714,290.04,90,94,2.66,PE,1727583629
119,sao raimundo nonato,-9.0153,-42.6994,299.41,40,95,1.59,BR,1727583631
120,hammerfest,70.6634,23.6821,277.4,87,100,2.06,NO,1727583632
121,kiunga,-6.1219,141.2906,304.36,62,96,1.21,PG,1727583633
122,kabompo,-13.5927,24.2008,290.68,36,17,1.64,ZM,1727583634
123,tadmur,34.5608,38.2805,296.05,37,0,2.4,SY,1727583635
124,constantia,44.1833,28.65,290.76,90,99,3.95,RO,1727583636
125,longyearbyen,78.2186,15.6401,274.06,93,100,2.06,SJ,1727583638
126,sitka,57.0531,-135.33,283.09,81,40,2.57,US,1727583639
127,isafjordur,66.0755,-23.124,273.88,99,100,1.8,IS,1727583640
128,khandyga,62.6667,135.6,274.44,86,100,3.34,RU,1727583641
129,atafu village,-8.5421,-172.5159,301.63,72,59,4.18,TK,1727583642
130,mansa,29.9833,75.3833,303.39,63,6,3.34,IN,1727583643
131,ortakoy,38.7373,34.0387,288.14,28,0,1.03,TR,1727583645
132,akureyri,65.6835,-18.0878,273.11,100,100,0.51,IS,1727583646
133,tsetserleg,47.475,101.4542,270.88,96,100,2.25,MN,1727583647
134,kimbe,-5.5502,150.1429,302.72,78,81,1.33,PG,1727583648
135,santa maria,-29.6842,-53.8069,288.54,94,1,2.1,BR,1727583649
136,al 'aziziyah,32.9058,45.0616,299.68,28,0,2.99,IQ,1727583650
137,sao gabriel da cachoeira,-0.1303,-67.0892,296.2,96,100,0.68,BR,1727583652
138,argo,37.6333,22.7333,294.92,57,0,1.9,GR,1727583654
139,aigues-mortes,43.5698,4.1871,284.73,71,0,2.06,FR,1727583655
140,badger,64.8,-147.5333,278.35,83,0,0.0,US,1727583656
141,hithadhoo,-0.6,73.0833,301.48,77,100,5.63,MV,1727583657
142,aasiaat,68.7098,-52.8699,275.93,98,100,5.77,GL,1727583659
143,kill devil hills,36.0307,-75.676,298.7,85,100,2.57,US,1727583660
144,messini,37.0511,22.0078,296.03,94,0,3.09,GR,1727583661
145,west island,-12.1568,96.8225,301.14,69,20,6.17,CC,1727583662
146,asau,46.4333,26.4,286.47,95,56,1.28,RO,1727583663
147,kismayo,-0.3582,42.5454,298.72,82,8,5.49,SO,1727583664
148,lebu,-37.6167,-73.65,285.18,97,100,4.93,CL,1727583665
149,corralillo,22.9819,-80.5856,300.31,87,76,4.03,CU,1727583667
150,constitucion,-35.3333,-72.4167,284.98,90,100,3.02,CL,1727583668
151,papao,-17.75,-149.55,299.97,79,63,5.49,PF,1727583669
152,chernigovka,44.3389,132.5728,293.85,65,10,5.88,RU,1727583670
153,huarmey,-10.0681,-78.1522,290.37,87,100,3.03,PE,1727583671
154,as sulayyil,20.4607,45.5779,302.22,12,47,1.72,SA,1727583672
155,melfort,52.8667,-104.6177,284.22,58,15,3.09,CA,1727583673
156,okha,53.5739,142.9478,285.6,89,100,4.59,RU,1727583675
157,puerto ayora,-0.7393,-90.3518,292.9,98,92,1.79,EC,1727583676
158,letlhakeng,-24.0944,25.0298,292.65,46,3,2.79,BW,1727583677
159,sengkang,-4.1279,120.0297,306.71,48,43,5.54,ID,1727583522
160,chonchi,-42.6128,-73.8092,282.66,99,100,2.02,CL,1727583679
